City,Country,Bicycle Usage,Bicycle Roads,Bicycle Rental Stations,Bicycle Stolen,lat,lon,average_slope,elevation,pop,temp_q1,temp_median,temp_q3
Utrecht,Netherlands,51.0,60.78,21.77,78.99,52.0907006,5.1215634,4.25,15.0,18228742.0,6.060999870300293,11.461000442504883,16.611000061035156
Munster,Germany,39.1,53.05,35.52,83.04,51.9625101,7.6251879,7.875,64.0,84552242.0,5.317500114440918,11.117499351501465,16.717500686645508
Antwerp,Belgium,28.9,53.37,78.87,84.61,51.2211097,4.3997081,3.375,12.0,11738763.0,6.518000364303589,11.930500030517578,17.230499267578125
Copenhagen,Denmark,29.0,61.6,12.17,66.62,55.6867243,12.5700724,11.5,13.0,5977412.0,4.6454997062683105,10.045499801635742,15.145500183105469
Amsterdam,Netherlands,32.0,61.71,32.06,84.49,52.3730796,4.8924534,5.5,13.0,18228742.0,6.196000099182129,11.295999526977539,16.195999145507812
Malmo,Sweden,30.0,52.4,10.8,90.87,55.6052931,13.0001566,10.75,14.0,10606999.0,5.130500316619873,10.230500221252441,15.580500602722168
Hangzhou,China,30.0,35.06,46.15,74.48,30.2489634,120.2052342,5.625,12.0,1419321278.0,10.032999992370605,20.08300018310547,26.682998657226562
Bern,Switzerland,15.0,65.46,71.6,75.78,46.9484742,7.4521749,123.125,542.0,8921981.0,3.946000099182129,9.945999145507812,16.34600067138672
Bremen,Germany,21.0,55.96,19.32,87.34,53.0758196,8.8071646,4.75,17.0,84552242.0,5.113500118255615,10.613499641418457,16.013500213623047
Hannover,Germany,19.0,51.51,27.33,91.23,52.3744779,9.7385532,4.625,62.0,84552242.0,5.078500270843506,11.128499984741211,16.778499603271484
Strasbourg,France,16.0,58.82,12.77,61.8,48.584614,7.7507127,6.75,147.0,66548530.0,5.33050012588501,11.680500030517578,17.74299907684326
Bordeaux,France,10.0,59.4,100.0,83.16,44.841225,-0.5800364,14.625,21.0,66548530.0,9.771499633789062,14.321499824523926,19.271501541137695
Hamburg,Germany,15.0,54.9,19.84,87.53,53.550341,10.000654,8.75,26.0,84552242.0,5.0829997062683105,10.532999992370605,16.132999420166016
Leipzig,Germany,15.2,51.05,25.2,75.11,51.3406321,12.3747329,13.875,119.0,84552242.0,4.589000225067139,11.138999938964844,17.338998794555664
Bristol,United Kingdom,14.0,56.17,3.64,92.11,51.4538022,-2.5972985,34.375,13.0,69138192.0,7.524500370025635,11.92449951171875,15.92449951171875
Montreal,Canada,18.2,44.12,7.42,94.79,45.5031824,-73.5698065,48.75,42.0,39742430.0,-1.0799999237060547,8.819999694824219,18.420000076293945
Nuremberg,Germany,13.0,52.95,18.43,92.31,49.453872,11.077298,14.0,299.0,84552242.0,3.9579999446868896,10.607999801635742,17.20800018310547
Innsbruck,Austria,17.0,56.18,28.79,86.78,47.2654296,11.3927685,491.875,580.0,9120813.0,4.323999881744385,10.723999977111816,17.224000930786133
Berlin,Germany,15.0,50.79,10.36,86.91,52.510885,13.3989367,5.125,37.0,84552242.0,4.563000202178955,11.162999153137207,17.413000106811523
Melbourne,Australia,16.1,43.19,4.37,97.05,-37.8142454,144.9631732,17.25,27.0,26713205.0,11.434500694274902,15.284500122070312,19.33449935913086
Cologne,Germany,12.0,50.04,13.84,87.73,50.938361,6.959974,6.125,56.0,84552242.0,6.026000022888184,11.97599983215332,17.575998306274414
Dresden,Germany,12.0,54.27,19.89,90.7,51.0493286,13.7381437,26.5,122.0,84552242.0,4.383500099182129,10.858500003814697,17.133499145507812
Frankfurt,Germany,12.5,51.89,41.47,90.31,50.1106444,8.6820917,20.0,104.0,84552242.0,5.115000247955322,11.664999961853027,17.915000915527344
Tokyo,Japan,15.0,53.85,1.97,97.14,35.6768601,139.7638947,21.5,36.0,123753041.0,8.681000709533691,17.0310001373291,25.0310001373291
Dusseldorf,Germany,12.4,50.87,13.56,89.96,51.2254018,6.7763137,6.625,44.0,84552242.0,6.05649995803833,12.056500434875488,17.456501007080078
Bonn,Germany,12.0,51.72,16.04,87.43,50.7352621,7.1024635,22.75,67.0,84552242.0,6.064999938011169,11.827500343322754,17.57750129699707
Nice,France,8.0,55.04,35.58,86.49,43.7009358,7.2683912,68.875,14.0,66548530.0,11.104000091552734,15.703999519348145,22.053998947143555
Nantes,France,6.0,64.62,66.32,96.42,47.2186371,-1.5541362,22.625,20.0,66548530.0,8.912999153137207,13.312999725341797,17.562999725341797
Geneva,Switzerland,7.0,66.49,8.16,77.8,46.2017559,6.1466014,57.5,414.0,8921981.0,5.456000328063965,11.63100004196167,17.70599937438965
Wellington,New Zealand,10.0,55.82,14.08,93.01,-41.2887953,174.7772114,128.625,11.0,5213944.0,11.886000633239746,13.886000633239746,15.935999870300293
Seville,Spain,7.0,52.18,36.18,97.8,37.3886303,-5.9953403,25.25,15.0,47910526.0,13.46250057220459,18.237500190734863,25.462499618530273
Paris,France,3.0,58.51,69.24,69.64,48.8588897,2.320041,9.5,42.0,66548530.0,7.436500072479248,12.636500358581543,17.83650016784668
Vienna,Austria,7.0,53.44,15.85,92.63,48.2083537,16.3725042,51.5,189.0,9120813.0,3.8365001678466797,11.286499977111816,18.83650016784668
Munich,Germany,10.0,53.95,24.13,92.95,48.1371079,11.5753822,9.0,523.0,84552242.0,3.7715001106262207,10.121500015258789,16.37150001525879
Helsinki,Finland,10.0,51.96,36.87,88.75,60.1698897,24.9384719,0.0,0.0,5617310.0,2.0980000495910645,6.547999858856201,13.597999572753906
Tel Aviv,Israel,9.0,37.88,59.5,79.85,32.0852997,34.7818064,22.375,18.0,9387021.0,16.361000061035156,21.461000442504883,26.26099967956543
Vancouver,Canada,7.0,51.09,42.72,86.97,49.2608724,-123.113952,20.5,43.0,39742430.0,5.894999980926514,10.144999504089355,15.344999313354492
Beijing,China,14.0,32.11,13.7,85.32,40.190632,116.412144,4.5,39.0,1419321278.0,2.822999954223633,14.27299976348877,23.47300148010254
San Francisco,United States,3.9,56.12,37.95,85.15,37.7792588,-122.4193286,32.25,31.0,345426571.0,11.289499282836914,13.38949966430664,15.489500045776367
Sydney,Australia,10.0,39.8,1.43,97.04,-33.8698439,151.2082848,36.0,64.0,26713205.0,14.053500175476074,18.05350112915039,21.30350112915039
Portland,United States,6.3,61.96,45.14,79.37,45.5202471,-122.674194,86.75,20.0,345426571.0,7.10099983215332,11.60099983215332,17.35099983215332
Casablanca,Morocco,12.0,21.3,1.1,94.23,33.5945144,-7.6200284,18.625,23.0,38081173.0,15.757499694824219,19.407499313354492,22.5575008392334
Ljubljana,Slovenia,10.0,34.75,52.13,93.79,46.0500268,14.5069289,36.875,298.0,2118697.0,3.8884999752044678,11.338500022888184,18.388500213623047
Madrid,Spain,6.0,46.6,12.34,92.21,40.4167047,-3.7035825,47.125,667.0,47910526.0,8.555000305175781,13.905000686645508,22.505001068115234
Dortmund,Germany,6.4,48.71,19.44,92.46,51.5142273,7.4652789,24.0,95.0,84552242.0,5.734499931335449,11.48449993133545,16.934499740600586
Barcelona,Spain,2.5,54.15,28.66,59.17,41.3825802,2.177073,74.0,29.0,47910526.0,11.880999565124512,16.58100128173828,22.33100128173828
Stuttgart,Germany,5.0,49.25,26.81,95.44,48.7784485,9.1800132,49.5,246.0,84552242.0,5.115500450134277,11.26550006866455,17.465499877929688
Reykjavik,Iceland,3.0,61.99,15.95,91.69,64.145981,-21.9422367,0.0,0.0,393396.0,1.5390000343322754,5.388999938964844,9.289000511169434
Auckland,New Zealand,8.0,38.83,1.08,98.01,-36.852095,174.7631803,26.25,41.0,5213944.0,13.371999740600586,16.07200050354004,18.772001266479492
Seattle,United States,3.5,56.73,10.84,82.14,47.6038321,-122.330062,38.5,51.0,345426571.0,6.826999664306641,10.777000427246094,15.577000617980957
Shanghai,China,10.0,32.75,16.11,88.81,31.2312707,121.4700152,6.75,18.0,1419321278.0,9.662999153137207,19.562999725341797,26.613000869750977
Singapore,Singapore,1.0,56.79,27.69,100.0,1.2899175,103.8519072,8.75,19.0,5832387.0,25.706501007080078,27.256500244140625,28.956501007080078
Washington,United States,4.6,48.32,6.43,85.34,38.8950368,-77.0365427,44.25,4.0,345426571.0,6.4054999351501465,15.555500030517578,22.405500411987305
Edinburgh,United Kingdom,3.0,52.85,11.57,84.37,55.9533456,-3.1883749,31.5,70.0,69138192.0,6.269000053405762,10.318999290466309,13.668999671936035
