url,title,price,area_m2,floor,rooms,location,Típus,scrape_date,listing_type,Szintek száma,Állapot,Fűtés,Erkély,Energetikai besorolás,Építés éve,Átlagos rezsiköltség,Napelem,Terasz
https://www.zenga.hu/ingatlan/kiado-teglalakas-budapest-ii-kerulet-torokvesz/8688606?page=1&pos=9&cr=110,Budapest II. kerület kiadó téglalakás 3 szobás: 635 ezer Ft,635.0,91.0,2. emelet,3.0,"Budapest II. kerület, Törökvész",Téglalakás,2025-09-05,rental,,,,,,,,,
https://www.zenga.hu/ingatlan/kiado-teglalakas-budapest-v-kerulet/6823096?page=1&pos=1&cr=700,,630.0,120.0,1. emelet,2.0,Budapest I. kerület,,2025-09-05,rental,,,,,,,,,
https://www.zenga.hu/ingatlan/kiado-tarsashazi-lakas-budapest-xi-kerulet/8590841?page=1&pos=4&cr=155,Budapest XI. kerület kiadó társasházi lakás 2 szobás: 245 ezer Ft,,64.0,,,,,2025-09-05,rental,,,,,,,,,
https://www.zenga.hu/ingatlan/kiado-teglalakas-budapest-i-kerulet/8616026?page=1&pos=13&cr=100,Budapest I. kerület kiadó téglalakás 2+1 fél szobás: 439 ezer Ft,,,,,,,2025-09-05,rental,,,,,,,,,
https://www.zenga.hu/ingatlan/kiado-teglalakas-budapest-i-kerulet-vizivaros-i-ker/8678051?page=1&pos=2&cr=300,,300.0,65.0,1. emelet,2.0,"Budapest XII. kerület, Németvölgy",Téglalakás,2025-09-05,rental,5.0,Felújított,Gázkazán,5 m²,D,,,,
https://www.zenga.hu/ingatlan/kiado-teglalakas-budapest-xvi-kerulet-matyasfold/8621033?page=1&pos=15&cr=100,Budapest XVI. kerület kiadó téglalakás 3 szobás: 792 ezer Ft,792.0,75.0,1. emelet,3.0,"Budapest XVI. kerület, Mátyásföld",Téglalakás,2025-09-05,rental,,Új építésű,Hőszivattyú,,Nem adta meg a hirdető,2025.0,,,
https://www.zenga.hu/ingatlan/kiado-teglalakas-budapest-vi-kerulet-nagykoruton-beluli-terulet/8685939?page=1&pos=14&cr=100,Budapest VI. kerület kiadó téglalakás 4+1 fél szobás: 596 ezer Ft,596.0,105.0,2. emelet,4.0,"Budapest VI. kerület, Nagykörúton belüli terület",Téglalakás,2025-09-05,rental,5.0,Felújított,Gázkazán,,B,1910.0,50 Ft/hó,,
https://www.zenga.hu/ingatlan/kiado-teglalakas-budapest-x-kerulet-laposdulo/8669656?page=1&pos=16&cr=100,Budapest X. kerület kiadó téglalakás 2 szobás: 200 ezer Ft,200.0,45.0,2. emelet,2.0,"Budapest X. kerület, Laposdűlő",Téglalakás,2025-09-05,rental,,Átlagos,Gáz (konvektor),,Nem adta meg a hirdető,1960.0,,,
https://www.zenga.hu/ingatlan/kiado-teglalakas-budapest-i-kerulet-gellerthegy-i-ker/8545902?page=1&pos=17&cr=100,Budapest I. kerület kiadó téglalakás 3 szobás: 554 ezer Ft,554.0,72.0,1. emelet,3.0,"Budapest I. kerület, Gellérthegy I. ker.",Téglalakás,2025-09-05,rental,6.0,Felújított,Házközponti fűtés egyedi méréssel,4 m²,Nem adta meg a hirdető,2010.0,60 000 Ft/hó,,
https://www.zenga.hu/ingatlan/kiado-teglalakas-budapest-vii-kerulet/8572878?page=1&pos=3&cr=200,,,,,,,,2025-09-05,rental,,,,,,,,,
https://www.zenga.hu/ingatlan/kiado-tarsashazi-lakas-budapest-xii-kerulet-istenhegy/8691781?page=1&pos=12&cr=100,,,,,,,,2025-09-05,rental,,,,,,,,,
https://www.zenga.hu/ingatlan/kiado-teglalakas-budapest-vi-kerulet-nagykoruton-beluli-terulet/8545834?page=1&pos=19&cr=100,Budapest VI. kerület kiadó téglalakás 2+1 fél szobás: 370 ezer Ft,370.0,73.0,6. emelet,2.0,"Budapest VI. kerület, Nagykörúton belüli terület",Téglalakás,2025-09-05,rental,6.0,Felújított,Házközponti,3 m²,Nem adta meg a hirdető,1939.0,57 Ft/hó,Nincs,
https://www.zenga.hu/ingatlan/kiado-teglalakas-budapest-vii-kerulet-ligetvaros/8686719?page=2&pos=1&cr=90,Budapest VII. kerület kiadó téglalakás 1+1 fél szobás: 250 ezer Ft,250.0,44.0,4. emelet,1.0,"Budapest VII. kerület, Ligetváros",Téglalakás,2025-09-05,rental,4.0,Átlagos,Gázkazán,2 m²,Nem adta meg a hirdető,1930.0,,Nincs,
https://www.zenga.hu/ingatlan/kiado-teglalakas-budapest-v-kerulet-belvaros/8648921?page=1&pos=20&cr=100,"Budapest V. kerület kiadó téglalakás 4 szobás: 1,6 millió Ft",1.6,153.0,3. emelet,4.0,"Budapest V. kerület, Belváros",Téglalakás,2025-09-05,rental,5.0,Újszerű,Házközponti,6 m²,Nem adta meg a hirdető,,,,
https://www.zenga.hu/ingatlan/kiado-teglalakas-budapest-vii-kerulet-nagykoruton-beluli-terulet/8691770?page=2&pos=3&cr=80,Budapest VII. kerület kiadó téglalakás 4 szobás: 594 ezer Ft,594.0,82.0,1. emelet,4.0,"Budapest VII. kerület, Belső-Erzsébetváros",Téglalakás,2025-09-05,rental,3.0,Felújított,Elektromos,,D,,42 000 Ft/hó,,
